filename,class_label,group_id,ai_probability,manipulationProbability,meanDifference,maxDifference,standardDeviation,edgeDensity,noiseMean,noiseStd,blurScore,sharpnessScore,blockSharpnessAverage,blockSharpnessStd
authentic\41960.jpg,Authentic,,0.0005,0.3347,0.64,15,1.03,5.48,2.76,6.65,577.64,51.07,599.24,870.51
authentic\41963.jpg,Authentic,,0.0005,0.4148,0.66,16,1.13,7.53,4.11,9.07,1325.64,50.26,1190.54,2425.12
authentic\41993.jpg,Authentic,,0.0001,0.2738,0.61,15,0.95,6.83,3.73,6.98,683.28,53.78,733.76,572.73
authentic\41994.jpg,Authentic,,0.0021,0.4634,0.39,8,0.71,3.37,1.59,3.14,121.33,28.07,125.38,120.34
authentic\42005.jpg,Authentic,,0.0,0.2829,0.56,11,0.88,4.25,2.6,6.66,504.57,46.19,512.5,1403.54
authentic\42013.jpg,Authentic,,0.0029,0.1768,0.63,15,0.97,4.57,2.69,5.1,319.21,50.42,300.24,425.27
authentic\42038.jpg,Authentic,,0.0,0.2598,0.67,14,1.02,6.62,3.97,7.84,1120.73,52.28,1138.16,1231.47
authentic\42057.jpg,Authentic,,0.0001,0.3254,1.06,15,1.31,15.7,8.22,11.08,2500.94,98.79,2464.52,1864.52
authentic\42082.jpg,Authentic,,0.0,0.2158,0.75,12,1.03,8.37,4.29,7.18,776.57,58.97,807.16,881.4
authentic\42149.jpg,Authentic,,0.0001,0.264,0.53,9,0.82,6.16,3.45,6.82,733.72,44.66,739.94,1541.01
authentic\42152.jpg,Authentic,,0.0001,0.1935,1.34,21,1.49,13.52,7.64,9.28,1775.1,90.66,1800.89,1039.96
authentic\42165.jpg,Authentic,,0.0003,0.1198,0.76,21,1.11,10.21,4.37,5.94,704.08,57.63,648.87,990.59
authentic\42183.jpg,Authentic,,0.0,0.3301,0.51,11,0.84,4.66,2.77,5.54,477.34,42.3,501.15,530.9
authentic\42241.jpg,Authentic,,0.0136,0.2685,1.04,21,1.44,11.91,5.48,9.01,1527.43,73.6,1436.7,1209.83
authentic\42255.jpg,Authentic,,0.0019,0.2469,0.86,16,1.06,7.83,3.29,5.54,437.3,67.3,449.53,616.12
authentic\42307.jpg,Authentic,,0.0,0.223,1.4,17,1.54,22.58,9.87,11.19,3110.39,114.03,2790.91,2208.88
authentic\42336.jpg,Authentic,,0.0208,0.1734,1.52,15,1.46,21.55,10.17,9.81,3106.46,101.36,3310.68,2010.8
authentic\42362.jpg,Authentic,,0.0,0.3289,0.72,11,0.98,7.47,3.45,5.77,528.97,53.98,538.39,530.92
authentic\42368.jpg,Authentic,,0.2109,0.3474,0.41,9,0.72,2.35,1.69,3.45,170.34,27.57,176.76,222.12
authentic\42401.jpg,Authentic,,0.0,0.1591,1.58,20,1.58,18.2,8.83,10.75,2318.84,106.88,2355.83,1317.37
authentic\42407.jpg,Authentic,,0.0016,0.2093,0.52,12,0.87,5.3,3.34,6.39,735.81,39.6,703.08,1036.06
authentic\42444.jpg,Authentic,,0.0001,0.3813,0.55,21,1.06,4.0,2.44,6.74,662.75,36.62,676.52,758.48
authentic\42445.jpg,Authentic,,0.0,0.2139,0.53,11,0.96,6.03,3.96,9.23,1187.73,47.35,1210.94,1204.96
authentic\42493.jpg,Authentic,,0.0002,0.3315,0.42,14,0.96,3.0,2.76,8.3,1255.96,33.46,1148.26,1782.77
authentic\42496.jpg,Authentic,,0.0002,0.1284,0.5,17,1.11,4.7,2.25,5.65,393.93,35.94,361.88,679.61
authentic\42505.jpg,Authentic,,0.0,0.1933,1.44,26,1.63,19.64,10.47,11.99,3225.14,115.9,3269.14,1649.31
authentic\42517.jpg,Authentic,,0.995,0.1417,0.98,11,1.02,21.37,7.12,6.88,1308.33,83.91,1326.51,844.9
authentic\42518.jpg,Authentic,,0.0102,0.2693,0.52,16,0.92,4.17,2.16,4.81,302.12,42.34,265.67,396.83
authentic\42607.jpg,Authentic,,0.0,0.4831,0.8,19,1.37,6.66,4.12,9.2,1277.9,57.02,1186.56,1561.97
authentic\42611.jpg,Authentic,,0.0,0.452,0.7,13,1.01,8.92,5.69,9.88,1359.55,71.45,1369.24,1245.84
authentic\42620.jpg,Authentic,,0.0,0.354,0.46,14,0.89,4.62,3.11,7.49,887.17,40.22,876.17,1282.87
authentic\42625.jpg,Authentic,,0.0004,0.3487,0.48,10,0.77,3.51,2.0,3.65,206.57,32.95,205.75,228.68
authentic\42666.jpg,Authentic,,0.0053,0.2526,0.93,34,1.39,9.51,5.7,9.96,2006.4,69.77,2024.46,3126.66
authentic\42703.jpg,Authentic,,0.0,0.3257,0.42,8,0.71,3.41,1.74,3.58,152.68,35.94,155.19,144.21
authentic\42779.jpg,Authentic,,0.0001,0.213,0.48,7,0.67,2.12,2.38,3.71,173.78,37.06,159.1,106.69
authentic\42796.jpg,Authentic,,0.0083,0.306,0.7,16,1.12,6.6,3.31,6.82,688.11,49.78,701.67,687.96
authentic\42801.jpg,Authentic,,0.0001,0.2737,0.34,9,0.67,1.99,1.09,3.14,107.07,22.41,109.15,208.91
authentic\42802.jpg,Authentic,,0.0002,0.4224,0.74,25,1.2,5.3,3.02,7.38,798.41,45.24,773.89,1518.96
authentic\42821.jpg,Authentic,,0.0001,0.1841,0.78,17,1.0,9.99,4.54,6.55,730.78,65.67,741.26,714.9
authentic\42835.jpg,Authentic,,0.0002,0.1937,0.66,16,0.93,4.57,2.49,4.46,257.17,44.91,270.46,253.65
authentic\42837.jpg,Authentic,,0.0001,0.2094,1.25,26,1.57,17.59,10.74,15.55,4091.15,122.7,4124.8,4258.86
authentic\42842.jpg,Authentic,,0.0002,0.2909,0.65,14,0.96,4.22,2.66,5.38,502.22,33.15,508.97,425.07
authentic\42860.jpg,Authentic,,0.0,0.1701,0.87,18,1.27,9.73,4.43,7.66,929.9,58.38,941.42,821.31
authentic\42873.jpg,Authentic,,0.0,0.2007,0.58,9,0.83,4.49,2.84,5.47,364.52,46.14,371.2,387.9
authentic\42887.jpg,Authentic,,0.0,0.2928,0.6,13,0.99,5.67,3.84,8.23,1130.87,47.33,1124.65,1248.75
authentic\42888.jpg,Authentic,,0.0,0.3166,0.44,8,0.74,4.96,2.15,3.77,210.38,36.06,216.68,231.12
authentic\42911.jpg,Authentic,,0.0003,0.4936,0.43,13,0.81,4.68,2.7,6.4,530.32,39.13,541.34,524.33
authentic\42935.jpg,Authentic,,0.0,0.2655,0.67,12,0.93,7.57,3.34,5.12,469.07,49.14,430.76,305.04
authentic\42953.jpg,Authentic,,0.0,0.2199,0.56,13,0.84,6.54,3.25,5.17,500.36,41.46,476.6,641.88
authentic\42984.jpg,Authentic,,0.0058,0.2396,0.7,11,0.95,5.56,3.1,5.92,466.56,56.22,478.95,543.89
authentic\43003.jpg,Authentic,,0.001,0.4536,1.03,20,1.46,11.85,6.93,10.52,2036.93,72.61,2032.19,1777.49
authentic\43011.jpg,Authentic,,0.0001,0.2562,1.36,16,1.63,19.7,8.26,10.43,2238.88,110.98,2290.8,1262.49
authentic\43029.jpg,Authentic,,0.0,0.1927,0.39,9,0.71,3.5,1.83,3.78,200.63,29.7,180.65,240.66
authentic\43058.jpg,Authentic,,0.0,0.1407,0.77,56,1.68,5.41,4.27,9.62,1187.56,60.99,1308.16,2274.52
authentic\43070.jpg,Authentic,,0.0001,0.2814,0.67,15,0.97,3.44,2.54,4.5,312.29,35.99,316.6,460.34
authentic\43072.jpg,Authentic,,0.0001,0.2065,1.16,19,1.43,15.07,6.13,8.5,1454.02,85.44,1483.38,1523.96
authentic\43093.jpg,Authentic,,0.0,0.152,0.48,9,0.7,2.38,1.83,2.77,98.51,32.41,101.65,77.43
authentic\43132.jpg,Authentic,,0.0,0.3221,1.43,39,1.89,14.19,7.14,11.01,2291.85,90.92,2202.39,1821.97
authentic\43137.jpg,Authentic,,0.0,0.3376,1.32,22,1.42,21.54,10.98,12.29,3594.09,125.97,3431.23,2163.22
authentic\43259.jpg,Authentic,,0.0,0.2533,1.05,14,1.22,16.86,7.74,9.46,2066.09,85.05,2072.12,1632.49
authentic\43261.jpg,Authentic,,0.0001,0.3458,0.44,13,0.76,3.66,2.19,5.33,396.43,36.37,367.82,628.79
authentic\43306.jpg,Authentic,,0.0082,0.2484,0.41,7,0.64,2.57,2.12,3.48,185.79,29.63,192.43,178.98
authentic\43325.jpg,Authentic,,0.0,0.2429,0.76,18,1.24,5.38,2.94,5.76,481.59,45.92,483.62,467.1
authentic\43331.jpg,Authentic,,0.0001,0.322,0.55,12,0.89,7.28,3.55,6.53,533.38,59.57,548.8,628.57
authentic\43359.jpg,Authentic,,0.0003,0.2327,0.39,8,0.7,1.81,1.11,2.63,76.84,20.71,86.04,108.83
authentic\43366.jpg,Authentic,,0.0011,0.2564,0.67,18,0.93,9.81,4.27,6.16,700.31,56.01,713.26,864.89
authentic\43428.jpg,Authentic,,0.0001,0.2611,0.38,7,0.62,1.3,1.64,2.57,97.6,27.79,100.62,102.8
authentic\43509.jpg,Authentic,,0.0003,0.3103,0.62,15,0.87,4.1,2.16,4.06,215.55,42.2,194.98,239.33
authentic\43545.jpg,Authentic,,0.0029,0.3366,0.86,18,1.22,10.6,5.9,9.56,1665.43,69.1,1683.72,2015.6
authentic\43560.jpg,Authentic,,0.0,0.3234,0.62,12,0.97,6.51,3.52,6.67,835.2,53.62,735.14,1416.38
authentic\43572.jpg,Authentic,,0.0018,0.2257,0.38,11,0.73,1.2,1.45,3.57,165.99,20.4,167.18,342.6
authentic\43582.jpg,Authentic,,0.0,0.0889,0.36,10,0.72,2.9,1.68,4.72,229.79,27.82,210.24,568.02
authentic\43605.jpg,Authentic,,0.0006,0.1034,0.81,20,1.26,5.68,3.2,5.52,440.19,51.85,453.99,330.0
authentic\43656.jpg,Authentic,,0.0,0.1421,0.67,9,0.88,4.85,2.91,5.07,373.23,46.91,410.36,301.4
authentic\43680.jpg,Authentic,,0.0,0.2838,1.27,30,1.68,14.61,9.15,12.88,2951.99,105.77,2897.36,2246.76
authentic\43686.jpg,Authentic,,0.001,0.2528,0.73,12,0.99,4.14,3.34,4.62,494.36,37.55,494.85,590.76
authentic\43691.jpg,Authentic,,0.0001,0.277,0.49,11,0.78,2.79,2.79,5.18,381.42,35.63,352.6,534.13
authentic\43701.jpg,Authentic,,0.0,0.3062,1.33,28,1.74,16.12,8.24,11.91,2541.27,96.67,2332.64,2183.93
authentic\43712.jpg,Authentic,,0.0001,0.2204,0.57,9,0.82,8.04,3.39,5.07,414.61,53.58,418.89,372.03
authentic\43731.jpg,Authentic,,0.0,0.2228,0.56,10,0.82,5.76,2.72,4.87,287.66,53.06,296.86,280.47
authentic\43734.jpg,Authentic,,0.0,0.2192,0.83,20,1.28,9.29,5.32,9.42,1500.54,64.42,1510.92,1772.88
authentic\43757.jpg,Authentic,,0.0014,0.1942,0.44,9,0.66,5.46,3.62,6.93,549.05,58.61,635.69,591.22
authentic\43781.jpg,Authentic,,0.0002,0.2748,0.63,17,1.07,7.78,4.5,8.86,1221.35,61.98,1252.08,954.57
authentic\43802.jpg,Authentic,,0.0,0.1734,3.03,21,2.51,36.62,34.74,26.34,37240.6,277.73,34367.62,11715.99
authentic\43806.jpg,Authentic,,0.0008,0.4415,0.58,13,0.96,2.84,3.66,9.5,1270.8,50.26,1253.03,1452.97
authentic\43818.jpg,Authentic,,0.0,0.392,0.71,13,1.28,7.7,5.75,12.92,2802.86,65.76,2850.24,3619.81
authentic\43827.jpg,Authentic,,0.0008,0.2381,0.54,11,0.82,4.73,2.2,4.15,229.57,43.27,241.67,297.83
authentic\43859.jpg,Authentic,,0.0003,0.3055,0.59,14,1.0,7.74,3.72,7.14,1035.7,50.5,1052.2,1842.55
authentic\43860.jpg,Authentic,,0.0001,0.4412,0.67,17,1.1,5.23,2.46,5.08,382.27,38.19,373.63,478.78
authentic\43879.jpg,Authentic,,0.3465,0.1935,0.28,3,0.47,7.49,2.79,3.62,118.75,74.34,120.37,93.98
authentic\43891.jpg,Authentic,,0.0152,0.1173,1.0,16,1.09,14.26,6.95,8.24,1517.61,84.61,1559.68,1174.17
