filename,true_label,meanDifference,maxDifference,standardDeviation,edgeDensity,noiseMean,noiseStd,blurScore,sharpnessScore,blockSharpnessAverage,blockSharpnessStd
AI (30).png,AI,1.47,52,1.81,3.56,2.49,6.35,535.75,35.06,554.62,1103.7
AI (31).png,AI,1.49,66,1.97,2.82,2.21,6.32,529.48,30.83,544.82,1104.01
AI (32).png,AI,2.31,35,2.03,6.55,4.09,5.66,665.59,53.85,685.1,1021.29
AI (33).png,AI,2.49,87,3.35,7.21,4.64,10.08,1292.87,56.23,1306.75,1541.68
AI (34).png,AI,2.21,49,2.12,5.31,4.66,6.83,857.09,48.54,878.11,944.11
AI (35).png,AI,2.35,53,2.5,9.92,5.41,9.05,1255.26,62.97,1284.71,1425.47
AI (36).png,AI,2.56,47,2.73,10.71,6.6,11.1,1888.63,78.91,1948.62,2153.06
AI (37).png,AI,0.8,26,0.99,0.65,0.73,2.25,62.37,8.53,58.69,238.09
AI (38).png,AI,1.51,91,1.98,3.53,3.39,8.32,913.84,37.89,916.98,1469.35
AI (39).png,AI,1.04,28,1.22,2.08,1.58,3.81,163.03,26.85,165.76,282.23
AI (4).png,AI,1.84,23,1.69,1.8,3.15,4.22,370.21,30.76,373.37,397.27
AI (40).png,AI,1.02,29,1.19,2.25,1.56,3.42,138.25,26.8,147.11,245.45
AI (41).png,AI,1.62,26,1.6,2.87,2.7,4.42,350.64,34.97,379.44,725.67
AI (42).png,AI,2.04,33,2.16,4.12,3.27,4.97,421.72,40.44,456.25,739.35
AI (43).png,AI,1.36,35,1.5,1.82,2.19,5.08,335.7,28.87,345.23,476.05
AI (44).png,AI,1.61,57,1.83,7.58,3.99,8.02,922.65,50.82,1008.44,1533.9
AI (45).png,AI,2.47,64,2.7,7.38,4.34,6.43,855.03,45.11,874.65,1009.52
AI (46).png,AI,2.51,64,2.91,9.4,4.91,7.87,1019.45,57.03,1043.85,1412.65
AI (47).png,AI,2.88,106,3.92,11.41,6.47,11.24,1824.19,77.17,1883.32,1968.18
AI (48).png,AI,2.49,66,3.14,5.91,4.02,8.83,991.97,54.55,1018.97,1392.06
AI (49).png,AI,2.2,79,2.95,4.49,3.35,9.41,1104.48,45.53,1116.02,1402.08
AI (5).png,AI,1.95,41,2.02,6.96,4.89,8.66,1395.8,48.48,1386.78,1517.3
AI (50).png,AI,2.4,54,2.56,10.83,5.79,8.96,1382.45,69.47,1454.94,1658.15
AI (6).png,AI,1.7,71,2.0,4.85,3.37,6.48,742.98,32.98,739.17,1100.3
AI (7).png,AI,2.64,104,3.63,8.64,5.82,10.13,1553.56,66.16,1583.98,2223.82
AI (8).png,AI,2.05,79,2.4,9.44,6.41,11.71,2115.32,74.27,2180.6,1889.87
AI (9).png,AI,1.48,18,1.47,3.79,2.9,4.93,406.55,32.24,407.84,665.05
original (1).jpg,REAL,0.91,16,0.95,2.5,1.76,2.58,76.19,30.77,83.01,119.58
original (10).jpg,REAL,1.11,21,1.08,2.86,1.97,2.98,94.84,32.33,104.44,124.09
original (11).jpg,REAL,1.29,42,1.28,6.3,3.05,4.14,208.43,51.11,226.4,227.52
original (12).jpg,REAL,1.2,34,1.21,1.87,1.96,2.57,110.97,24.38,114.59,141.46
original (13).jpg,REAL,1.18,33,1.08,0.67,1.84,2.22,82.26,22.57,85.35,116.9
original (14).jpg,REAL,1.04,32,1.25,1.98,1.72,4.37,213.25,21.7,222.82,715.62
original (15).jpg,REAL,0.76,20,0.88,1.77,1.4,2.95,77.2,23.81,82.79,162.91
original (16).jpg,REAL,0.97,23,1.1,2.84,1.93,3.87,156.87,27.57,165.06,285.08
original (17).jpg,REAL,1.06,25,1.19,3.49,2.13,3.96,178.25,30.09,187.39,370.67
original (18).jpg,REAL,1.01,21,1.13,2.55,1.91,3.89,160.65,26.58,168.56,428.65
original (19).jpg,REAL,0.9,23,0.98,1.58,1.51,3.09,96.23,20.8,100.52,209.38
original (2).jpg,REAL,1.53,23,1.4,3.14,3.26,4.93,325.33,41.26,341.68,430.84
original (20).jpg,REAL,1.2,18,1.17,1.08,1.75,2.27,88.82,22.01,91.79,98.81
original (21).jpg,REAL,0.95,22,1.1,2.17,1.65,3.29,120.94,22.55,127.45,265.02
original (22).jpg,REAL,1.36,15,1.21,0.02,1.75,1.54,80.34,16.24,81.27,57.54
original (23).jpg,REAL,1.5,25,1.38,0.82,2.1,2.27,131.98,20.69,135.39,143.14
original (24).jpg,REAL,0.91,28,0.94,1.22,1.29,2.14,52.56,18.79,55.74,103.87
original (25).jpg,REAL,1.08,17,1.01,0.08,1.3,1.27,44.68,12.82,45.26,39.79
original (26).jpg,REAL,1.02,21,1.16,3.33,1.94,3.59,145.37,29.16,153.58,299.75
original (27).jpg,REAL,0.9,21,0.95,0.98,1.24,2.08,54.16,16.53,56.8,93.32
original (28).jpg,REAL,1.28,18,1.18,0.51,1.69,1.94,84.83,16.86,86.91,106.55
original (29).jpg,REAL,1.22,18,1.13,0.51,1.94,1.95,80.17,23.81,82.6,62.76
original (3).jpg,REAL,1.72,19,1.56,18.87,5.32,5.23,455.43,88.84,485.98,346.73
original (30).jpg,REAL,1.12,21,1.1,1.37,1.89,2.64,96.69,24.69,101.01,172.21
original (31).jpg,REAL,1.18,23,1.25,2.73,1.89,2.96,109.34,30.61,116.45,233.07
original (32).jpg,REAL,0.83,15,1.1,3.08,1.74,2.86,91.21,27.1,98.5,128.35
original (33).jpg,REAL,1.31,17,1.24,3.08,2.61,2.99,150.06,33.9,155.19,134.27
original (34).jpg,REAL,2.12,35,1.98,19.13,7.05,7.23,763.67,117.5,816.03,686.3
original (35).jpg,REAL,2.26,42,2.09,22.06,9.1,9.58,1412.25,139.2,1496.55,1152.16
original (36).jpg,REAL,0.55,11,0.78,7.23,4.88,6.75,1028.63,46.28,1043.09,1708.75
original (37).jpg,REAL,1.26,29,1.63,8.56,3.63,6.5,490.81,50.78,514.09,820.0
original (38).jpg,REAL,1.53,22,1.44,11.57,4.15,4.83,301.79,72.49,329.26,268.24
original (39).jpg,REAL,1.23,33,1.27,4.37,2.8,4.94,263.86,46.04,279.81,354.17
original (4).jpg,REAL,1.41,20,1.27,3.33,2.64,3.43,176.11,35.63,184.78,210.7
original (40).jpg,REAL,2.06,30,2.15,14.44,7.91,10.93,1841.09,109.38,1918.29,2009.33
original (41).jpg,REAL,2.68,46,2.43,26.4,11.51,10.64,2128.96,170.16,2244.0,1051.42
original (42).jpg,REAL,1.75,35,2.15,14.55,6.5,9.23,1072.57,97.9,1115.67,1204.05
original (43).jpg,REAL,0.84,17,0.87,1.21,1.26,2.25,56.05,17.67,59.0,118.83
original (44).jpg,REAL,1.43,28,1.45,3.73,2.93,5.36,340.53,38.99,358.48,639.57
original (45).jpg,REAL,1.27,21,1.36,8.17,3.09,4.88,256.47,46.65,271.96,396.38
original (46).jpg,REAL,1.64,22,1.74,3.63,3.51,5.84,531.4,37.87,547.77,1043.59
original (47).jpg,REAL,1.2,19,1.28,0.91,1.66,2.22,102.15,17.41,104.62,159.99
original (48).jpg,REAL,1.14,24,1.26,2.98,2.0,3.39,165.53,26.29,172.09,340.65
original (49).jpg,REAL,0.79,36,0.98,2.0,1.0,1.73,23.24,28.53,29.73,49.82
original (5).jpg,REAL,1.44,27,1.31,3.87,3.46,5.5,336.63,46.77,357.27,535.53
original (50).jpg,REAL,2.38,22,2.08,24.54,9.88,9.55,1744.92,135.43,1825.51,1448.45
original (6).jpg,REAL,0.88,16,0.92,2.42,1.91,3.84,123.24,34.02,140.11,235.29
original (7).jpg,REAL,1.1,28,1.13,3.07,2.59,5.05,235.97,39.67,256.06,394.48
original (8).jpg,REAL,1.25,37,1.28,2.92,2.79,5.68,315.8,40.81,335.72,609.47
original (9).jpg,REAL,1.15,41,1.28,2.22,2.23,4.55,210.46,31.03,222.78,448.4
